Rank,experiment_id,classifier,dataset,feature_tier,calibration,prompt_version,llm_model,roc_auc,f1,accuracy,precision,recall,mcc,balanced_accuracy,pr_auc,ece,brier_score,train_time_s,inference_time_ms,num_features,path
1,random_forest_ExpC2_dataset_auto,Random Forest,dataset,C2,auto,v5,qwen3:4b,0.678,0.7083333333333334,0.6181818181818182,0.6071428571428571,0.85,0.22268343469578533,0.595,0.7046537813676217,0.07801922076526567,0.23443892481678713,0.0,133.90111923217773,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\random_forest\dataset\C2\auto
2,random_forest_ExpC2_dataset_sigmoid,Random Forest,dataset,C2,sigmoid,v5,qwen3:4b,0.678,0.7083333333333334,0.6181818181818182,0.6071428571428571,0.85,0.22268343469578533,0.595,0.7046537813676217,0.07801922076526567,0.23443892481678713,0.0,180.75990676879883,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\random_forest\dataset\C2\sigmoid
3,random_forest_ExpC2_v1_none,Random Forest,v1,C2,none,v1,qwen3:4b,0.6763333333333333,0.5765765765765766,0.5727272727272728,0.6274509803921569,0.5333333333333333,0.1531038495429703,0.5766666666666667,0.7526434901461025,0.135786625839376,0.21266706862532644,0.0,26.141643524169922,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\random_forest\v1\C2\none
4,random_forest_ExpC2_dataset_none,Random Forest,dataset,C2,none,v5,qwen3:4b,0.6733333333333332,0.6821705426356589,0.6272727272727273,0.6376811594202898,0.7333333333333333,0.2402818344409233,0.6166666666666667,0.7235192877353304,0.05886406393565465,0.22922345095456823,0.0,27.733325958251953,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\random_forest\dataset\C2\none
5,xgboost_ExpC2_dataset_none,Xgboost,dataset,C2,none,v5,qwen3:4b,0.671,0.703125,0.6545454545454545,0.6617647058823529,0.75,0.29722102236291054,0.645,0.6966053334168946,0.037164056301116966,0.22664607486953844,0.0,16.233444213867188,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\xgboost\dataset\C2\none
6,random_forest_ExpC2_dataset_isotonic,Random Forest,dataset,C2,isotonic,v5,qwen3:4b,0.6708333333333333,0.6825396825396826,0.6363636363636364,0.6515151515151515,0.7166666666666667,0.2608745973749755,0.6283333333333334,0.7435809136775766,0.08215136353925864,0.22722209385577538,0.0,156.41546249389648,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\random_forest\dataset\C2\isotonic
7,logistic_regression_ExpC3_dataset_none,Logistic Regression,dataset,C3,none,v5,qwen3:4b,0.659,0.6797385620915033,0.5545454545454546,0.5591397849462365,0.8666666666666667,0.06428378995075054,0.5233333333333333,0.700159464824412,0.012355233121412764,0.23994019539848993,0.0,2.241373062133789,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\logistic_regression\dataset\C3\none
8,logistic_regression_ExpC2_dataset_none,Logistic Regression,dataset,C2,none,v5,qwen3:4b,0.6516666666666666,0.6324786324786325,0.6090909090909091,0.6491228070175439,0.6166666666666667,0.21591229150073132,0.6083333333333334,0.6610624836373276,0.06722528349681994,0.2350011377574638,0.0,2.531290054321289,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\logistic_regression\dataset\C2\none
9,logistic_regression_ExpD_dataset_none,Logistic Regression,dataset,D,none,v5,qwen3:4b,0.6423333333333333,0.6610169491525424,0.6363636363636364,0.6724137931034483,0.65,0.269282867259448,0.635,0.6588408198257127,0.08453829620498673,0.23797345549031823,0.0,1.1372566223144531,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\logistic_regression\dataset\Exp_D\none
10,random_forest_ExpC3_dataset_none,Random Forest,dataset,C3,none,v5,qwen3:4b,0.6396666666666667,0.6055045871559633,0.6090909090909091,0.673469387755102,0.55,0.2304228298045766,0.615,0.6927006284554824,0.046937360510027636,0.235530648628865,0.0,36.627769470214844,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\random_forest\dataset\C3\none
11,random_forest_ExpC2_qwen_35b_none,Random Forest,qwen_35b,C2,none,v5,qwen3.5:35b,0.636,0.6518518518518519,0.5727272727272728,0.5866666666666667,0.7333333333333333,0.12115842966696572,0.5566666666666666,0.7209216761227125,0.04723089601641913,0.2283995616159607,0.0,19.86527442932129,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\random_forest\qwen_35b\C2\none
12,logistic_regression_ExpC_dataset_none,Logistic Regression,dataset,C,none,v5,qwen3:4b,0.6356666666666666,0.6218487394957983,0.5909090909090909,0.6271186440677966,0.6166666666666667,0.17640226142994403,0.5883333333333334,0.6639577566957338,0.06888306590394581,0.24169504917101375,0.0,1.3966560363769531,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\logistic_regression\dataset\Exp_C\none
13,random_forest_ExpD_dataset_none,Random Forest,dataset,D,none,v5,qwen3:4b,0.6313333333333333,0.6612903225806451,0.6181818181818182,0.640625,0.6833333333333333,0.22544742148685679,0.6116666666666667,0.6760164576541683,0.04660817717398596,0.2344342440200427,0.0,24.890422821044922,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\random_forest\dataset\Exp_D\none
14,logistic_regression_ExpB_dataset_none,Logistic Regression,dataset,B,none,v5,qwen3:4b,0.6056666666666667,0.5815602836879432,0.4636363636363636,0.5061728395061729,0.6833333333333333,-0.131845681259602,0.44166666666666665,0.6733984898354092,0.19173705696823362,0.2431867752477923,0.0,2.949953079223633,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\logistic_regression\dataset\Exp_B\none
15,random_forest_ExpC2_freetext_none,Random Forest,freetext,C2,none,freetext,qwen3:4b,0.6053333333333333,0.6451612903225806,0.6,0.625,0.6666666666666666,0.1884336657203579,0.5933333333333333,0.6351435580161594,0.10494165655211735,0.2494433972786714,0.0,58.94780158996582,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\random_forest\freetext\C2\none
16,random_forest_ExpB_dataset_none,Random Forest,dataset,B,none,v5,qwen3:4b,0.603,0.5981308411214953,0.6090909090909091,0.6808510638297872,0.5333333333333333,0.23486494954174547,0.6166666666666667,0.7020301967881215,0.07160581090204726,0.23810560038923279,0.0,24.855613708496094,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\random_forest\dataset\Exp_B\none
17,xgboost_ExpD_dataset_none,Xgboost,dataset,D,none,v5,qwen3:4b,0.5943333333333333,0.6290322580645161,0.5818181818181818,0.609375,0.65,0.15141990995385904,0.575,0.6509514906445514,0.1109874652190642,0.2576963707596544,0.0,5.691289901733398,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\xgboost\dataset\Exp_D\none
18,xgboost_ExpC3_dataset_none,Xgboost,dataset,C3,none,v5,qwen3:4b,0.585,0.6616541353383458,0.5909090909090909,0.6027397260273972,0.7333333333333333,0.16159760214153737,0.5766666666666667,0.650992151297502,0.11889775517311964,0.24812280007711485,0.0,21.16560935974121,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\xgboost\dataset\C3\none
19,random_forest_ExpC_dataset_none,Random Forest,dataset,C,none,v5,qwen3:4b,0.5836666666666667,0.64,0.5909090909090909,0.6153846153846154,0.6666666666666666,0.16878989451394444,0.5833333333333333,0.6229486431605942,0.03117105474114297,0.24175625967121203,0.0,34.43622589111328,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\random_forest\dataset\Exp_C\none
20,logistic_regression_ExpC1_dataset_none,Logistic Regression,dataset,C1,none,v5,qwen3:4b,0.5635,0.6290322580645161,0.5818181818181818,0.609375,0.65,0.15141990995385904,0.575,0.6060483000977146,0.051455268111050716,0.2469454875024797,0.0,1.6820430755615234,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\logistic_regression\dataset\C1\none
21,logistic_regression_ExpA_dataset_none,Logistic Regression,dataset,A,none,v5,qwen3:4b,0.5635,0.6951219512195121,0.5454545454545454,0.5480769230769231,0.95,0.02192645048267573,0.505,0.6060483000977146,0.01702524327098095,0.24536042357746127,0.0,1.4867782592773438,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\logistic_regression\dataset\Exp_A\none
22,xgboost_ExpB_dataset_none,Xgboost,dataset,B,none,v5,qwen3:4b,0.5223333333333333,0.6119402985074627,0.5272727272727272,0.5540540540540541,0.6833333333333333,0.024761120998717186,0.5116666666666667,0.6220549460926116,0.11674991073933513,0.2578660538009378,0.0,9.789705276489258,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\xgboost\dataset\Exp_B\none
23,xgboost_ExpC_dataset_none,Xgboost,dataset,C,none,v5,qwen3:4b,0.4965,0.5645161290322581,0.509090909090909,0.546875,0.5833333333333334,0.003364886887863534,0.5016666666666667,0.5774822986949141,0.14853242777965286,0.27843219164834576,0.0,6.158113479614258,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\xgboost\dataset\Exp_C\none
24,random_forest_ExpA_dataset_none,Random Forest,dataset,A,none,v5,qwen3:4b,0.4686666666666667,0.425531914893617,0.509090909090909,0.5882352941176471,0.3333333333333333,0.05746628212274875,0.5266666666666666,0.5584719066433101,0.044228196863524465,0.2513663687894758,0.0,30.974626541137695,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\random_forest\dataset\Exp_A\none
25,random_forest_ExpC1_dataset_none,Random Forest,dataset,C1,none,v5,qwen3:4b,0.46799999999999997,0.38202247191011235,0.5,0.5862068965517241,0.2833333333333333,0.048971253039280745,0.5216666666666667,0.5562634870435861,0.05236052769058905,0.2520256694131134,0.0,47.5611686706543,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\random_forest\dataset\C1\none
26,xgboost_ExpC1_dataset_none,Xgboost,dataset,C1,none,v5,qwen3:4b,0.45199999999999996,0.6946107784431138,0.5363636363636364,0.5420560747663551,0.9666666666666667,-0.0407611893677162,0.49333333333333335,0.5515888415778943,0.023043906688690233,0.25070123092414126,0.0,4.527568817138672,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\xgboost\dataset\C1\none
27,xgboost_ExpA_dataset_none,Xgboost,dataset,A,none,v5,qwen3:4b,0.45199999999999996,0.6946107784431138,0.5363636363636364,0.5420560747663551,0.9666666666666667,-0.0407611893677162,0.49333333333333335,0.5515888415778943,0.023043906688690233,0.25070123092414126,0.0,6.494760513305664,0,C:\Users\Document\OneDrive\Desktop\TFG\Project\experiments\evaluation_models\xgboost\dataset\Exp_A\none
